,username,mediacount,followees,followers
202,liiiiena,21,594,667
203,yvdsonn,8,611,708
204,maseovelasquez,2,231,172
205,jcamilo.dh,0,683,87
206,embracex9,15,785,209
207,labyrinth_denizen,38,206,90
208,henessyrls,0,498,993
209,arongrave,24,121,322
210,hardikkatariyaa,80,2013,515
211,thesamimichoux,6,367,347
212,alex_.niru,0,387,277
213,jrguimaraesx,1,491,554
214,bognen,5,1131,472
215,mikemoguel12,7,493,377
216,mike.makes.moves,62,813,345
217,gabisntit,0,3907,239
218,zyemnadn,36,761,1543
219,ryandlester,24,83,169
220,robertorosaz,106,181,30230
221,andrescano,63,1624,560
222,alef_sandroo,70,1448,6560
223,bernatmj,1,531,427
224,pl4mbo,22,550,459
225,ayaz_sinem,4,1003,295
226,belencristiano,171,1110,1046
227,amandorosales,128,1070,761
228,pantaleo_samuele,0,1828,128
229,alijeza33,21,320,194
230,hcy94.art_,12,126,80
231,epicentreoftheuniverse,2,18,1
232,bcozt,1,625,204
233,igorabreu12,40,613,18589
234,evelyn.uhrich,48,1013,2869
235,anoudesigns,4,256,54
236,fabtttt,0,114,1
237,sergeantsapper,95,5399,128
238,aggierufus,674,1261,825
239,omessfe_,106,1444,3207
240,ovezine,21,381,349
241,botellinr,32,696,619
242,e2m.o_e.coto_,0,73,4
243,nadikelisek,0,827,439
244,m9x7s,0,572,234
245,3000xm,3,2076,531
246,andrew_kata,5,297,240
247,selevabeats,7,934,152
248,_iicka,4,126,330
249,iblameyates,13,315,402
250,gustavo.kuchler,2,924,301
251,cooll.t,222,405,92
252,eipopo_kyaw,0,246,21
253,zainabfsadeq,2,534,231
254,edu.trig,0,755,302
255,andrewlau,131,618,589
256,milos.dim,9,243,67
257,p_dr0ga,3,363,350
258,gabrielpasquotto_,1,704,852
259,therealnietzscholas,65,340,323
260,farmsmadeit,12,607,97
261,_.zx80._,59,831,686
262,mirelapitt,29,1011,694
263,nihansahiin,21,423,346
264,victtorselva.br,4,337,403
265,polodemaik,31,670,556
266,big_air,318,181,50
267,ugiaoo2610,0,150,47
268,duygutnis,0,242,250
269,darkdi3,0,120,70
270,arazkhojasteh,432,1190,868
271,alexphotography93,73,37,50
272,carerusakan,0,81,0
273,ramtin_deghat,193,507,413
274,artcreation08,36,430,894
275,jamie_rye44,0,6019,4
276,radiptadhira,24,1718,773
277,andersonvmedeiros,2,1029,1078
278,nhadanhuynh,0,180,51
279,fabiocordeirodj,22,3419,521
280,nashkandel,12,666,204
281,frappuxcino_,105,2297,1272
