,username,mediacount,followees,followers
885,chrisgagnon93_,14,629,511
886,razma.art,3,238,15
887,paulallita,281,863,1642
888,juliocasasv,133,851,745
889,frommylake,103,2342,185
890,quartermile.co,29,251,1606
891,luuk_wag,0,1331,962
892,c.j.woods,13,374,377
893,rsalianto,50,589,444
894,serdardenizcom,774,858,35758
895,lu.garciia_,0,478,363
896,chehaitli,5,260,218
897,rsllyzc,86,879,578
898,merces_fernandes,8,3637,260
899,alik2970,78,2931,425
900,hikohigohelloo,200,422,10756
901,orleansnery,64,790,351
902,dominic.navarro,7,590,1090
903,xuliabrs,11,1224,380
904,mario_attaque,698,1515,639
905,antonioruz,111,5924,6098
906,ssamueldrr,0,132,99
907,baskouda_jeelinho,58,781,589
908,hypercardsnft,5,3141,563
909,ilkayhp,0,246,429
910,geekandgirl89,119,203,81
911,kassiodarocha,154,374,2252
912,jls444_,2,242,287
913,admigolaw,8,110,44
914,chrstanlanan,0,140,122
915,vale.morales112,0,366,710
916,johnthouet,0,478,26
917,ahmadwagiih,184,1323,1223
918,niggrcube,0,24,46
919,inesmty,25,721,732
920,tkfloor,205,186,117
921,__balena,48,1596,1619
922,aidinsard,10,141,1017
923,hdcrrrr,30,1240,2242
924,6024koki,12,750,632
925,encrimsonednight,1,73,7
926,frankhu5150,11,746,330
927,ozdane,484,449,394
928,pu_daranee,800,1230,59
929,abhinavbaldha,117,561,334
930,davecasm,3,335,5333
931,moorbida,122,1109,1003
932,santifilippi,174,1715,1226
933,yaaaaa16581,49,356,131
934,lacolaro,3,532,313
935,hamzzakhalid,0,199,1076
936,vicku.r16,45,2237,326
937,eugenias.18,333,2127,723
938,ilayda_rslann,4,442,529
939,thailx,15,63,105
940,lookscramped,0,2,0
941,__imbilly__,0,1311,200
942,minh_anh_0811,2,208,578
943,alii_morabito,127,523,339
944,arenacopacabana_,5,205,150
945,rakulkumar.555,14,918,376
946,hanysnz,16,977,1234
947,zerosea.97,9,96,28
948,higgs_boson001,0,28,0
949,sailingtobyzantium,16,54,140
950,_unhi.pink_,2,1377,129
951,iighii00,0,963,217
952,sheloveslopecitox,1,336,227
953,mataosnap,123,202,278
954,aninhasalle,20,94,115
955,miguel_os_,12,397,512
956,kimjenny278,0,70,4
957,azra.klyncc,0,252,750
958,annabel_huu,1,653,487
959,earriaga93,2,618,202
960,pandoradebartha,0,147,6
961,cbord24,91,1448,829
962,fab20009,0,7368,2
963,blobdoody,4,365,156
964,armin_tourkizzle,4,182,382
965,carolina22soledad,96,1115,535
966,amirfromutopia,443,155,120
967,lapamlimon,1199,1453,1020
968,jobe96,75,430,227
969,tjmz2020,0,149,84
970,mcnakg,14,404,324
971,bigbadwolfiee,23,746,2576
972,eceakpolatt,263,1993,615
973,katosotak,9,725,141
974,return_eternal,2,76,123
975,asegurap,83,119,47
976,supichaya_mm,0,67,32
977,alenyb2000,0,450,32
978,this.is.kato,6,274,135
979,david.sawtell.12,9,64,40
980,1patrioticman,0,124,1
981,ngunnathriniiy,3,320,16
982,__sinsi,1,608,156
983,tanchanhorse,7,142,15
984,danibleix,41,24,1
985,andrebatista920,26,1030,639
986,raff_ro_,261,3517,1012
987,princessrimeisback,69,557,421
988,rxxbi_,8,88,55
989,belenmunyoz,117,1046,715
990,__mtst__,0,338,111
991,elisa_x95,0,31,9
992,alirezalightmaker1994,161,2509,267
993,bysjeff,32,865,760
994,yj5678100,0,1075,37
995,mrtzhldr,45,685,445
996,amy_guzz,249,192,757
997,thomas.k.bz,0,523,125
998,juancfrattini,18,355,113
999,rchlightwar45,0,20,1
1000,strasekmatej,56,312,234
1001,igloomybear,12,1135,1120
1002,aghil_salamifar,3,1918,654
1003,phimely,835,2622,538
1004,axlleyi,44,256,16395
1005,17onze,13,186,90
1006,ferhatkaradagg,45,549,1076
1007,theabstractarchitect,46,141,12237
1008,genelevant,32,83,49
1009,rayodelata,164,2929,1234
1010,sizwen_,214,658,80
1011,fgc494,3,195,71
1012,estudio.viral,95,288,1100
1013,pursuitofwonderx,0,479,0
1014,gamchickk,1,200,64
1015,ghazaaliz,8,447,363
1016,yourtrulysrikanth,99,20,8
1017,sebjo.se,14,518,1093
1018,dudrrrrmss,0,39,0
1019,robjlld,132,928,445
1020,sachinkalyania,1,130,22323
1021,sonny_bgsy,0,91,0
1022,wisdom.of.sands,35,23,17
1023,cristinacntlp2,30,62,41
1024,benewir,0,473,1769
1025,asli_usta78,315,284,180
1026,ishiruru,14,3256,216
1027,attitudegirl66695,0,172,22
1028,emre21t,142,1198,1481
1029,pento_m45,522,80,30
1030,themanbarcelo,9,354,271
1031,_kenneth_s,124,863,778
1032,creator_psd,16,110,53
1033,mik05_,0,212,54
1034,guille_zayas,65,645,633
1035,thezwnshow,2,3190,211
1036,g_ggeorgiev,0,761,337
1037,xserenityq,28,606,454
1038,firstouch,21,254,165
1039,hatch____,91,41,2
1040,franskarlos,5,799,177
1041,vsmpzd,0,82,21
1042,__thef_artninja__,53,2305,1888
1043,_milky.wey___,0,1220,1
1044,theblack_hole_,0,418,0
1045,isoguzay,96,429,630
1046,yusuf_ucunypr,0,257,175
1047,0sh0047,0,4,1
1048,fa7timat,0,717,0
1049,ghost_inthecorner,3,107,12
1050,nava_vaac,0,69,4
1051,ojardimdesophia,62,65,193
1052,fanibarros20,92,556,718
1053,zhil1a_,0,931,134
1054,kitchu.dub,210,1015,1252
1055,eliaz7k,6,724,169
1056,kiremitci.efe,0,815,584
1057,damcoskrt,2,1301,129
1058,perceptionandreality,0,42,15
1059,summer.d2021,3,66,4
1060,ssiyasalislam,0,136,165
1061,kimsta.jpg,20,119,21
1062,bahuguna_arpit,49,333,131
1063,nereeaxd,29,1468,1632
1064,mejiav_,3,389,149
1065,dano.steez,0,13,8
1066,marino_94,135,255,189
1067,jgi1512,286,4173,5583
1068,salmansaleem_,622,960,851
1069,lacuentadejacobo,129,1038,846
1070,umutttandogan,1,210,190
1071,redheaddropdead,128,880,118
1072,galexxs,24,413,199
1073,kush_rs._,2,4880,686
1074,tales_from_a_sound,47,675,117
1075,breadward0,178,847,139
1076,brett_world,0,1745,2498
1077,checruiz,424,924,514
1078,escapegoat0238,0,45,5
1079,openeyesmedia369,431,1208,1639
1080,angie_marin09_,9,318,1022
1081,the_rastamanx,0,147,81
1082,hamzamustafa___,1,2230,1987
1083,joslop1,3,2499,622
1084,_f.ayala_,6,838,1588
1085,agvstina666,12,1533,1670
1086,pierina.barrientos,0,557,337
1087,aripaolete,129,475,533
1088,fhidalgoa25,6,1286,959
1089,vvunxx_xx,20,874,138
1090,carlosrofts.art,63,970,398
1091,enes.sahin98,7,480,650
1092,yangyang_6292,202,1018,378
1093,censored_777,12,88,90
1094,barbaraaa.castro,0,543,1548
1095,lord_valdomero_xd,383,790,293
1096,tkrhasann,0,168,628
1097,a7med7iso,0,214,60
1098,effywintour,62,2836,3450
1099,thejohnhuber,948,750,821
1100,crosstianoo_,0,447,225
1101,mararamirez20,44,1028,1761
1102,valeria.mendicuti,21,1407,1038
1103,liv.ingfullest,1,700,1
1104,ashok01_,33,294,173
1105,shmarwenz,3,864,3193
1106,farah_ezzat2001,1,1471,38
1107,thayse_mancio,9,1520,961
1108,carla.borbor,0,371,462
1109,itsjiangjiang,6,1226,0
1110,jaja_.rem,0,40,4
1111,1mictlantecuhtli,39,111,33
1112,juanjosejaimeg,2,807,1111
1113,memes.l1l,0,260,0
1114,jaliyahfaith,6,71,134
1115,aviewyoucantsee,26,4216,788
1116,the.my.way.club,23,48,3
1117,__otaviocabral,48,870,1224
1118,gokcenaydiinn,0,112,145
1119,lucianorissoph,63,822,368
1120,ivannafinol,24,543,867
1121,mhh5t,19,1318,1785
1122,davenport.milton4,0,97,51
1123,gabbykulick7_7,0,413,138
1124,em17.99,5,717,217
1125,stylosmichael,83,888,782
1126,candela.rf_,0,688,560
1127,doritchka,383,343,860
1128,eysanizm_,0,116,0
1129,conradopaste,2,330,159
1130,michael_zakkben,21,376,357
1131,doneduu,152,1153,1010
1132,laleya23,194,403,457
1133,jqueraltt,0,655,696
1134,misaraujjo,17,2750,3118
1135,gabriellnodari,9,1213,1464
1136,davyokub,72,412,869
1137,berkaycolgecenn,5,256,189
1138,propermellor,1815,477,547
1139,nft_fineart,1502,1557,15152
1140,desi_6ix9ine,0,291,10
1141,zaki_gharabi,19,208,2867
1142,coldwith19,466,174,25
1143,iceomaar,8,699,2006
1144,cyfyre,15,6197,9395
1145,gllhares,49,673,30
1146,_eybess,4,196,192
1147,totepdelacruz,216,2465,477
1148,akagirtsk,3,71,42
1149,joshlat,4,1137,641
1150,ainosakebi,30,291,607
1151,andrewroibalartworks,231,376,172
1152,valepaez00,23,904,1486
1153,sarakamaldiab,46,118,522
1154,bxnnyplushie,8,121,13
1155,nilayuyaar,0,640,561
1156,mainor_d_solano,0,69,23
1157,alexkoch_14,5,766,845
1158,amimusg,17,163,74
1159,hicham_tagajdid,100,999,51568
1160,_ekremercel,7,194,185
1161,miguelornoz,4,647,633
1162,gustavomanzanoo,5,499,437
1163,svk455,107,860,196
1164,kycnmete,0,185,176
1165,ataberkercan_,0,377,272
1166,alikeles7,0,232,16
1167,raf.a9,0,617,258
1168,eliifdggn,0,175,142
1169,badreliyeeon,651,3660,895
1170,german6x6x,11,111,46
1171,plusultras.tv,5,212,67
1172,aysukemik,27,274,289
1173,batuatinkaya,3,323,493
1174,sorierop,693,396,399
1175,hsnyenel,6,503,482
1176,marina_morelli_60,20,344,86
1177,lot_ek,3443,825,10903
1178,arthur.graphic,5,399,55
1179,ehsan_2003_tavakoli,12,149,70
1180,zgrabic,27,916,379
1181,uxdismail,5,149,275
1182,llllfg_,0,184,349
1183,samohasgreeneyes,0,152,136
1184,natasgrandson,5,58,37
1185,halilctnlr,2,165,240
1186,wf.k_,0,1226,11878
1187,_sohrabnajafi_,125,733,1436
1188,sissympiz,3,281,3117
1189,vrlbento,21,590,181
1190,beyoncepernambucana,43,787,1596
1191,gambitify,54,217,207
1192,u2mf,0,323,32
1193,mustafaalturk34,5,144,513
1194,gustelo_,9,491,480
1195,16.j1,1,719,8239
1196,yusuf_kaan_emir,4,164,363
1197,theyusu,45,1383,545
1198,lightmyflame_,1060,2888,1634
1199,sajjad.iam,29,277,837
1200,pachecosky,502,1638,561
1201,x_3slam,0,520,123
1202,edwardjohnmuller,10,84,68
1203,sumercetin_,5,184,126
1204,pablofg5,10,685,577
1205,judalions,834,987,673
1206,s0ulkeep.er,0,15,0
1207,qass1us,33,308,1010
1208,a7md7__,3,1006,149
1209,ltonz,1,474,946
1210,rosacalabuig,60,1522,575
1211,ali.33_h,3,2499,2398
1212,roark_tv,406,1148,525
1213,nicotapia.s,4,148,88
1214,simo.abbaoui,43,2168,470
1215,evraaydemir,42,646,493
1216,egemenavan,3,396,403
1217,scvafx,2,31,0
1218,originalcreator1,21,22,4
1219,alex.huerta.dechong,44,1411,1160
1220,isikcan_,20,447,771
1221,chanke66,1,336,26
1222,editedbyed,2,12,11
1223,ugursahyldrm,22,709,963
1224,_everythingis_,0,99,15
1225,zigor,457,1545,101232
1226,meso.collections,18,637,975
1227,pongo_llls,39,309,224
1228,adamsturino,6,236,1020
1229,mmeawnk,78,253,364
1230,_vishnu__saran_,4,274,167
1231,sanaageuoshii_____,76,501,88
1232,morutan_gs,1,391,82
1233,rashad.rajabli,0,116,77
1234,richdachink,2,2008,446
1235,da.n1_2428,2,970,337
1236,pr0lays,1,999,161
1237,theobenazet,313,408,469
1238,khadijah_hashimi,0,110,20
1239,sareebeer_13,11,962,345
1240,existenceisaprison,0,45,6
1241,_______sila7,13,195,39
1242,_zeubi_la_mouche_,0,996,252
1243,awhb6,0,229,13
1244,seenbyvictor,27,111,126
1245,little__arts__,162,55,1294
1246,dhrryllancta,0,204,224
1247,mertoloji1925,237,688,2414
1248,sakartabloo,9,56,13669
1249,ataraxiaxiv,0,1216,0
1250,brynchn,0,578,454
1251,mahmoudouda99,74,2293,712
1252,0xsage,0,34,5
1253,hjaquias,0,187,244
1254,infortunadamente,16,190,35
1255,fatih_bayrak,0,378,122
1256,lutsicortes24,77,480,481
1257,ykslakpnr_,109,491,1864
1258,zachjezierski,73,808,1070
1259,alice_wanderlust,225,808,381
1260,tritrung.n,0,278,27
1261,ttuckey_bw,205,891,1455
1262,__001900__,0,1040,0
1263,tanishasjournal,13,72,208
1264,gosling_jr,2178,1008,69
1265,ger.1212,3,11,5
1266,samsnchez,47,551,1281
1267,daawnsiichanamungkhun,0,547,23
1268,helonizuka,1,487,540
1269,_a.e.a.e_,93,1492,1294
1270,emretartar_,2,812,774
1271,sathapohn__,3,327,423
1272,ecchaaaemnaakham,0,204,10
1273,iltansoy,28,592,738
1274,elifcaanpolat,0,288,160
1275,alicianbrt,5,114,171
1276,arthurlorch,0,678,364
1277,aainslie,2,4467,285
1278,svetllana.chr,171,540,305
1279,shwechue_kha_maung,0,90,26
1280,swaliska,96,968,1657
1281,ivanreyes222,1,1836,1150
1282,ginger_jennie_,3,362,60
1283,auli_a6816,0,257,29
1284,barbarasmagazzine,1,692,245
1285,imisuji,0,230,273
1286,saranka_karan,680,5054,1252
1287,jaydencann,112,708,312
1288,leuzbuzz,57,767,644
1289,diegochavzs,230,919,559
1290,robsonafsilva,340,157,70
1291,this_is_hamis,0,506,24
1292,loveyours_universe,3,4,10
1293,lamya20045,2,527,112
1294,theautumnalcity,63,297,135
1295,xilll_oo,0,176,15
1296,fraan.101,3,357,703
1297,yourweathers,89,199,48
1298,aestheticallyacute,15,290,12
1299,arvind.the,1012,7448,1186
1300,lexyruth1,325,1493,329
1301,udjduse,0,213,0
1302,martinliu666,2976,1456,324
1303,skeggiold,132,703,163
1304,donmezservettin,0,5601,189
1305,clara.yu,25,518,1568
1306,historiansmemories,3,139,106
1307,kornchonok,0,101,18
1308,iasona.g,9,914,924
1309,itselaf1,2,2789,282
1310,skiye12,0,217,35
1311,apluscb,83,787,253
1312,baothu1412,0,414,58
1313,lvicent10,0,297,578
1314,nawaf_tw77,2,192,209
1315,khalidt1_,4,101,101
1316,april.lia09,2,233,122
1317,nnatcha_auy,0,484,9
1318,goksunsonmez,36,1002,502
1319,eceezelsoy,25,2801,2442
1320,lenefeittoza,2,497,113
1321,elle.seh,7,92,55
1322,sedefucr,0,66,459
1323,inspo.ggg,1,146,2
1324,lina_kourhasan,3,768,366
1325,zaferderee,18,791,891
1326,mrnigarali,49,538,289
1327,jokerrboss,64,1346,58837
1328,nitiwitpp,10,1137,530
1329,diwolf_,23,7,84
1330,themachinegod,24,161,49
1331,_albin_george___,60,860,1327
1332,adityagupta143cute,91,167,397
1333,bbright2725402021,0,127,5
1334,ariloofficial,47,401,1363
1335,pot_.jk,0,65,0
1336,ezgiselinay,29,455,733
1337,blgarsln,0,343,466
1338,guspottinger,692,1495,438
1339,bestegursesli,54,731,998
1340,roeang29,0,9,0
1341,dvrn_2711,57,4320,1052
1342,okaytncy,26,471,370
1343,zamora.chema9,13,421,416
1344,user671890356175,0,534,157
1345,brightwin_subtle,42,645,28
1346,brandnsante,5,559,816
1347,jlfl17_,51,353,432
1348,jomigie_,3,429,933
1349,donnie_v_,10,180,181
1350,ecif,1306,1659,1092
1351,jenny_barbarita,4,68,70
1352,pushstartfree,1028,2562,0
1353,rainsoundzrrn,10,471,267
1354,umg1218,0,432,0
1355,isawachadx,9,1035,4203
1356,2005__oxo,0,183,216
1357,sotonsigns,43,750,315
1358,habib.shbn,2,201,83
1359,antonvonkleist,6,318,36
1360,astelya_krimpa,0,451,0
1361,itsnotthe_glasses,104,679,343
1362,yochiottie,264,271,46
1363,dhoom5145,0,32,17
1364,_nicolas_taboada,0,105,68
1365,dazedcats,0,96,5
1366,abealencastro,0,236,70
1367,pacochoi22,92,1753,262
1368,yuntikk,37,550,405
1369,_richardso,0,832,954
1370,jesusinmarshall,1,91,5
1371,lizasemoboy,4,1179,437
1372,masterjcrooks,0,81,0
1373,yanse.mr,22,118,4
1374,laura__soul,64,439,462
1375,rauliaguirre,1,66,98
1376,yesilyurterkan,0,351,1089
1377,ed_ashley,161,1617,258
1378,nuwroyzhec,2,391,29
1379,_gyzh_,1195,436,325
1380,boxtxt,1,115,71
1381,jbvisualaudio,40,5455,978
1382,corcor_light,0,301,29
1383,james.hardingham,292,206,72
1384,birseenaktas_,9,39,1613
1385,salome.htoro,31,1139,965
1386,haruna9969,0,364,44
1387,josephe.eac,11,2691,1117
1388,lemoga74,81,990,145
1389,trisparker.co,0,6798,577
1390,drewendly,122,2526,805
1391,ili02l,25,255,60
1392,neji4705,3,102,13
1393,hiram_escobedo,10,631,1542
1394,__algedi,536,550,347
1395,jannllebadana,5,81,18
1396,xl.chaos,5,227,795
1397,cmmllaa,8,285,225
1398,glow19708,0,15,1
1399,youcef._.tk,0,747,779
1400,syed_motor,1,242,11
1401,atarigen,11,86,142
1402,bduyygu,24,353,799
1403,antonioctsl,0,78,70
1404,x_rxqueen_x,344,565,390
1405,lab.zo.ne,12,156,17
1406,rst_yldz_00,15,564,426
1407,5hannondavin,18,1082,2279
1408,soymichelkelly,748,575,948
1409,lastnorthshield,116,98,141
1410,whalylu,17,688,520
1411,paulinagarcia.h.22,21,1248,1010
1412,ayse.gul_piskin,0,146,50
1413,whoiselaina,2,738,823
1414,seppe.alex,2,834,548
1415,qkenz_,18,147,230
1416,aleynagokmena,69,486,1816
1417,maryana55667,0,55,7
1418,erhan.mutlu35,22,472,177
1419,hilalyksl98,4,360,328
1420,samy_abdennebi,0,406,59
1421,uspavanka3805x,18,119,23
1422,basrithewonderful,1,223,0
1423,nathaliadmoreira,0,535,579
1424,sonfeciern,8,143,54
1425,f_birger,14,377,217
1426,emir.gerceker,16,1414,10003
1427,_hotbutter,25,710,444
1428,ninjayuki,18,866,840
1429,furkan.alpnar5,5,960,736
1430,amir_najafi,4,1492,277
1431,zac_ofalltrades,47,655,317
1432,watermelon_bangs,0,52,0
1433,ziad.elf,28,525,508
1434,caiiojpg,1,348,342
1435,akerimturkoglu,6,479,322
1436,peacockingart,7,622,150
1437,_dogankuru,2,110,35
1438,elifkursaat,0,518,293
1439,visual.thing,7,596,179
1440,meteserhatozturk,0,801,420
1441,mohseni.0069,79,384,380
1442,ivan_tokmadzic,53,407,476
1443,toqme,1,5,0
1444,just_jc_nopenney,848,1110,850
1445,dontkillmayvayb,0,188,70
1446,lnvallecillo,1,141,111
1447,iamaykutguzel,8,392,457
1448,_albinahajrullahu,25,453,656
1449,dybala_000021,13,408,22
1450,helixbome,30,691,324
1451,mariyes00,0,417,836
1452,koryagus,64,287,103
1453,iluminatibrrr,0,1218,93
1454,cnyagan,0,20,2
1455,pkxixi_18,1,86,65
1456,krisflynnhutt,225,957,3355
1457,hussain.she1kh,0,2210,1534
1458,_pamelagr_,4,168,2552
1459,alissaqa7,12,1229,929
1460,justindotai,0,214,4
1461,ismaelviso,8,291,185
1462,yaqin_hussein,79,5710,1081
1463,andamania,722,3238,647
1464,benicerz,6,145,37
1465,prioliveirareal,39,953,1326
1466,huynhhoailinhtam,15,619,139
1467,vakkkum,0,572,591
1468,6voiid,0,302,82
1469,markholle,9,528,291
1470,spaindmavr,0,29,0
1471,mayj.hh,0,603,721
1472,sx_roms,92,1050,551
1473,li2kfairy,0,467,119
1474,katie.ka_boom,753,1270,321
1475,mmukchuyy,10,485,73
1476,esrasitepu,21,678,405
1477,ploy_kkn.48,1,117,102
1478,daksh_gzzz,0,204,162
1479,jjjamesharris,0,130,100
1480,yenzzaaaa,4,56,66
1481,the_atadam,1,131,9
1482,itsgtk,0,149,26
1483,b.irko,53,354,371
1484,svll.dn,107,264,116
1485,unikovoce,1,20,9
1486,mariana.jjuarez,37,496,567
1487,santiagodag,5,1480,1279
1488,cadmiumchloride,0,11,1
1489,richard.urrea02,25,1649,736
1490,vc.rfyuq,5,207,57
1491,franmrtngrr,0,296,375
1492,sryslnxx,26,134,73
1493,hecho_a_mano2629,1,457,63
1494,amandagoldmann,26,7343,344
1495,timur.abdullah7,8,301,124
1496,brunogandara,77,587,1273
1497,lincolnn.12345,0,190,3
1498,qokhanquvercinli,101,219,2
1499,rachaelforsyth1971,31,700,122
1500,leyib_dohoncho,1,115,18
1501,yavuzkaleoglu,17,163,132
1502,abrilh__,5,1707,2062
1503,eddyislame,705,2424,710
1504,cy2lv,3,1240,1370
1505,recreationalcoder,0,32,9
1506,sayna_247,1,1802,673
1507,relicta28,5,224,33
1508,astrophuture,40,140,359
1509,larisa.hiristea,9,4037,1671
1510,zynepde,15,532,566
1511,surmeliozan,79,520,823
1512,irene.fridi,2,481,424
1513,sarah__megh,20,1688,70
1514,zzz2x2,0,43,104
1515,aydinnedaa,170,777,928
1516,korkmzilyda,3,165,233
1517,iremkutnay,0,259,232
1518,guiipinho,72,925,1031
1519,jaysbook,42,172,34461
1520,chongity,31,1382,1275
1521,luisromeromo,159,215,221
1522,domdododomdodom,35,226,432
1523,nauti_lus_,979,563,218
1524,carlosrodriguez10,57,1623,593
1525,frpxhv,1,260,407
1526,fatihkaymak7,1,208,197
1527,helloimfaris,87,561,691
1528,revolutionary_anarchist,0,570,474
1529,icarouu,0,617,242
1530,vranjek,12,458,294
1531,marioastorgx,54,588,730
1532,szehin_jason,3,401,259
1533,takchgram,24,1081,1082
1534,pa3ck_herrer,27,1347,1004
1535,robbiemacisaac,11,1270,1541
1536,akashrawat7179,41,215,116
1537,x61.49x,0,103,73
1538,toddoalrojo,11,516,88
1539,hyte.art,64,259,5711
1540,nablydenie01,43,334,170
1541,_paulm11,1,719,947
1542,fede.pasque,23,460,501
1543,cette_cacophonie,0,56,787
1544,strengthformum,84,125,19
1545,mixete,18,328,77
1546,nathalia_aaaaaa,0,732,22
1547,jefersonmglh,54,1037,707
1548,t.turner.94,3,143,107
1549,sk33n3,4,1,1
1550,mattjdyer,0,701,274
1551,nadiaaal02,13,1043,1681
1552,hakannbak,3,346,320
1553,schnuck.vw,20,2924,580
1554,6tier,0,190,32
1555,j.inxed,117,963,1214
1556,zokugang,571,3153,0
1557,m.c.a.k,45,648,841
1558,guulnare,0,101,62
1559,nelso_n8695,6,198,63
1560,efedsengun,4,930,422
1561,unnienuuie00,556,607,74
1562,vecherskiy,82,739,3919
1563,allen_chen.76,29,1179,79
1564,yo_chi00,0,161,3
1565,guillxm_,9,655,1150
1566,_thecollecterking_,3,267,66
1567,m.abahsain,2,179,254
1568,mommapoleng_,1,300,274
1569,lebiss41,0,230,228
1570,yeahgoodthank_s,0,17,7
1571,kanupotshi,1,254,74
1572,faultys,42,57,20
1573,zii_jaay,0,11,12
1574,maurine.slle,52,668,905
1575,mihai.ciuss,5,174,137
1576,iamvakkas,5,75,75
1577,mythxn,59,457,461
1578,goksel.ergun,39,311,394
1579,_ioanaivmadalinaa_,22,659,243
1580,lina_seoky,11,126,92
1581,achaigracha,6,264,114
1582,burcuqua,10,518,1027
1583,pleasstoplookingatme,0,73,1
1584,dragos.costachee,36,445,106
1585,lebonheur2797,67,748,244
1586,ang.bos.18,0,458,17
1587,thekalahari,0,2267,1242
1588,mhfzhnfs,0,2,31
1589,aimaanu,114,788,659
1590,ytkkjm,107,1125,493
1591,bethino89,877,2457,766
1592,ahmed_elshbasy,84,4377,893
1593,merrtyucel,4,324,241
1594,aaron_chin,2055,2252,13645
1595,simone_pacioni01,0,194,68
1596,jefferson_chen,10,603,417
1597,chempo009,850,790,4446
1598,goksu.tatarr,74,799,724
1599,selchuqirm,95,297,170
1600,jiffin.anson,269,820,817
1601,sethbasio,40,1418,970
1602,kulinanana,3,888,762
1603,emircanyilmaaz_,0,301,356
1604,varutchaya_starnew,357,317,116
1605,aimreisz,1,313,769
1606,miguelpdpkk,0,209,59
1607,mr__fujiwara,0,133,21
1608,bbrightwh,52,1428,22
1609,thenameis.randy,1,185,306
1610,helenacayadi,31,268,90
1611,k_ngtoot,0,93,91
1612,_mkmart,59,303,494
1613,alexis_sarinana16,3,90,495
1614,daiolav,11004,131,39
1615,radylias,67,220,272
1616,lorenarodrigueznx,103,1039,1044
1617,leopz.07,0,125,764
1618,juliaruass_,6,808,824
1619,casss._.v,17,463,1171
1620,ry_neiva,5,174,287
1621,_adilecelep,0,218,196
1622,musajodakun,85,628,440
1623,nxndinha_,0,50,7
1624,oliviabond4,23,1153,1033
1625,hugodesadeleer,320,1740,3051
1626,tonyykam,46,3048,2873
1627,joseph.vil,42,927,942
1628,novocrypto,222,1461,1296
1629,agus_iriparceee,51,2194,1329
1630,seedsrthenewccy,3,71,34
1631,perozajv,1,210,239
1632,maximeleri1,3,818,1100
1633,artahalilaj,0,128,221
1634,saullom2,527,1795,1494
1635,balakumaar007,30,1583,223
1636,hafezoo,257,1760,21237
1637,narabeniko,140,1495,1
1638,ldr.197,1,535,817
1639,__mcmxlv__,4,54,9
1640,theerguven,2,56,32
1641,n4d1414,12,1192,48
1642,jujutsukaisenomanga,22,55,139
1643,jack_23456za,4,44,10
1644,llluiizza,0,167,134
1645,rozzeell,0,1505,2268
1646,lorenamttzls,690,895,947
1647,rahmaa__1999,0,99,5208
1648,shalamberidzem,27,309,411
1649,moniqueblaikie,15,253,895
1650,lumagranado,446,566,464
1651,nespo17,9648,3942,288
1652,fara_merh,15,121,16
1653,buuur4k,0,304,486
1654,alejandra_vaazquez,0,556,896
1655,flandez.cl,586,6076,274
1656,poli.puipui,6,61,19
1657,amirhossein.atta,54,157,368
1658,wellss.101,7,89,6
1659,biciclettes,45,1740,695
1660,edvardx,10,168,198
1661,esteticasemlimitesgrillznails,129,6107,1685
1662,hvbib_bayo,0,353,969
1663,gnykr34,1,159,26
1664,teddyyding,33,632,710
1665,lorenzonicl,0,102,0
1666,gunseliidogan,2,383,221
1667,enecalleti,66,660,521
1668,yigit_caliker,7,236,188
1669,bstbbr,0,148,281
1670,secilllkurt,3,242,221
1671,zzavranmurat,11,445,424
1672,iremmertbey,47,952,654
1673,crriggs,11,7507,5189
1674,claravicentiz,132,578,9854
1675,patrickmimran,537,111,6117
1676,dervisyilmaz,79,298,267
1677,hanifibnusholih,38,659,656
1678,sreyas_14,4,315,296
1679,hf_fx2,0,71,140
1680,anon_file,99,2228,124
1681,_seifmohamed,15,617,652
1682,131_savage,3,522,480
1683,ataniasu,15,396,98
1684,theusm4_,0,1037,394
1685,hakanztemurr,0,656,629
1686,acelyauzunkaya,161,1450,984
1687,rock.kaya,9,228,202
1688,marianadassumpcao,2,971,819
1689,sayemhaque3,30,82,48
1690,lara.melek,0,973,63
1691,ellena_rose1,7,5930,1397
1692,kaci.paprocka,684,270,46338
1693,aaabdyrahmanov,0,352,258
1694,workinginla,105,1265,266
1695,anna_tabatadze,45,868,289
1696,feliksdaniel,122,1005,584
1697,denisadokulil,9,203,64
1698,serraktepe,36,917,630
1699,teoo.st,0,168,4
1700,gabriela.elizarrarass,1,6704,218
1701,arquitectura_4444,4,662,135
1702,yaxiyang,14,6,0
1703,marcfioriti,152,2233,1225
1704,veezy.o,38,589,316
1705,beratcnrr,14,452,293
1706,foxishere__,8,275,118
1707,mertkabarcik,3,416,173
1708,gorkemosanmazz,12,190,216
1709,leonardobear22,8,319,440
1710,tolgasavkat,2,657,729
1711,spoilot_x2,21,248,259
1712,tanto.gaia,36,113,87
1713,elenafatisi,1169,853,965
1714,howlinwlfe,0,52,2
1715,caro_rodrigues2,0,1261,342
1716,homyrrh,0,836,167
1717,proxist0r,0,26,10
1718,luciocardooo,2,521,771
1719,cotu77,57,102,69
1720,s_tzamalis,1,163,146
1721,andrecvnt,216,1192,1040
1722,trailjunction,600,180,49
1723,gianluca_paterniti,199,1285,901
1724,chebi8,149,1488,1094
1725,omar.hassan17,0,603,470
1726,axel.liscovsky,23,423,666
1727,_boostvincennes_,0,12,2
1728,nilayonay,3,361,81
